sku,product_name,avg_price,n_months,total_units,mean_monthly_demand,std_monthly_demand,insufficient_history,avg_lead_time_days,std_lead_time_days
19,Nike Men's Fingertrap Max Training Shoe,124.9899979,6,64.0,10.666666666666666,6.15358973824764,False,3.890625,1.710074606188326
24,Elevation Training Mask 2.0,79.98999786,6,231.0,38.5,23.939507096011816,False,3.554054054054054,1.7292162441279408
35,adidas Brazuca 2014 Official Match Ball,159.99000550000002,6,65.0,10.833333333333334,4.622409184253019,False,3.353846153846154,1.5555422007973745
37,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,28,781.0,27.892857142857142,11.911212538066144,False,3.4618320610687023,1.6059257134051412
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000167999999,28,939.0,33.535714285714285,11.026843149390938,False,3.511475409836065,1.599968992365631
58,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,1,29.0,29.0,,True,3.655172413793104,1.737729677912401
60,SOLE E25 Elliptical,999.9899902,2,10.0,5.0,4.242640687119285,True,4.0,1.632993161855452
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902000001,1,28.0,28.0,,True,3.071428571428572,1.2450962012087865
78,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,6,186.0,31.0,14.872793954062566,False,3.6031746031746033,1.4977368145960124
93,Under Armour Men's Tech II T-Shirt,24.989999770000008,28,835.0,29.821428571428573,10.150911549757751,False,3.621428571428571,1.6262535044787738
116,Nike Men's Comfort 2 Slide,44.99000167999999,28,991.0,35.392857142857146,10.067694155488914,False,3.542682926829268,1.662136754388355
127,Stiga Master Series ST3100 Competition Indoor,329.9899902,1,27.0,27.0,,True,3.4074074074074074,1.3085299814107096
134,Nike Women's Legend V-Neck T-Shirt,25.0,28,801.0,28.607142857142858,10.242754569158688,False,3.3978494623655915,1.649982242849097
135,Nike Dri-FIT Crew Sock 6 Pack,22.0,28,883.0,31.535714285714285,11.902325147438374,False,3.441558441558441,1.644206145832588
172,Nike Women's Tempo Shorts,30.0,28,907.0,32.392857142857146,12.305792931889423,False,3.5440251572327046,1.630625325464592
191,Nike Men's Free 5.0+ Running Shoe,99.98999786000024,34,36680.0,1078.8235294117646,200.05051946616115,False,3.493960062453776,1.6206620667385534
203,GoPro HERO3+ Black Edition Camera,399.9899902,1,32.0,32.0,,True,3.75,1.7038855027411943
208,SOLE E35 Elliptical,1999.9899900000003,2,15.0,7.5,2.1213203435596424,True,3.533333333333333,1.3557637102737474
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,6,64.0,10.666666666666666,7.033254343948231,False,3.796875,1.5448808193617225
226,Bowflex SelectTech 1090 Dumbbells,599.9899902,2,10.0,5.0,2.8284271247461903,True,3.5,1.4337208778404378
235,Under Armour Hustle Storm Medium Duffle Bag,34.99000167999999,28,846.0,30.214285714285715,11.519250049075318,False,3.5752508361204014,1.5980870025573033
249,Under Armour Women's Micro G Skulpt Running S,54.97000122000001,28,847.0,30.25,10.444296689262199,False,3.4494773519163764,1.6355078995591052
251,Brooks Women's Ghost 6 Running Shoe,89.98999786,6,212.0,35.333333333333336,16.621271511730583,False,3.4545454545454546,1.570710943214208
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786,6,206.0,34.333333333333336,16.070677231114647,False,3.557142857142857,1.690859607176221
273,Under Armour Kids' Mercenary Slide,27.989999770000015,28,795.0,28.392857142857142,9.863285027534769,False,3.350597609561753,1.6286772674272405
276,Under Armour Women's Ignite Slide,31.989999770000015,28,919.0,32.82142857142857,14.676899388541697,False,3.64951768488746,1.574798940216049
278,Under Armour Men's Compression EV SL Slide,44.99000167999999,28,813.0,29.035714285714285,9.811112908734488,False,3.282142857142857,1.5937947708639857
282,Under Armour Women's Ignite PIP VI Slide,31.989999770000015,28,848.0,30.285714285714285,10.413158139290042,False,3.347368421052632,1.6977724908507028
295,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,6,187.0,31.166666666666668,14.958832396502963,False,3.5161290322580645,1.7057466562209302
303,Garmin Forerunner 910XT GPS Watch,399.9899902,1,35.0,35.0,,True,3.6857142857142855,1.6408647033774346
305,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,6,67.0,11.166666666666666,5.776388721914988,False,3.6417910447761193,1.6209003534073785
306,Polar FT4 Heart Rate Monitor,89.98999786,6,196.0,32.666666666666664,22.096756926451143,False,3.4833333333333334,1.7221553963099696
311,Polar Loop Activity Tracker,109.94999689999999,6,54.0,9.0,4.0,False,3.759259259259259,1.5773776325494684
359,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,6,206.0,34.333333333333336,21.12502465481796,False,3.632352941176471,1.7007848211639438
364,Total Gym 1400,299.9899902,1,36.0,36.0,,True,3.638888888888889,1.5334886049747165
365,Perfect Fitness Perfect Rip Deck,59.99000167999971,34,73698.0,2167.5882352941176,378.73738544026094,False,3.5063838466245154,1.6314571900432266
403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055000008,34,22246.0,654.2941176470588,114.85604413107865,False,3.501258653241032,1.6177463902383449
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,34,62956.0,1851.6470588235295,329.7159367250562,False,3.4847159496077964,1.6202964736837149
564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,28,907.0,32.392857142857146,12.4672587076125,False,3.446308724832215,1.5695341688098627
565,adidas Youth Germany Black/Red Away Match Soc,70.0,28,969.0,34.607142857142854,9.669881786072349,False,3.4426751592356686,1.7027211381588716
